,Date,Season,home,visitor,HT,FT,hgoal,vgoal,tier,round,group,notes,result
1,1929-02-10,1928,Arenas de Getxo,Atletico Madrid,0-2,2-3,2,3,1,league,NA,NA,A
2,1929-02-10,1928,Espanyol Barcelona,Real Union,1-0,3-2,3,2,1,league,NA,NA,H
3,1929-02-10,1928,Real Madrid,CE Europa,0-0,5-0,5,0,1,league,NA,NA,H
4,1929-02-10,1928,Real Sociedad,Athletic Bilbao,1-1,1-1,1,1,1,league,NA,NA,D
5,1929-02-12,1928,Racing Santander,FC Barcelona,0-0,0-2,0,2,1,league,NA,NA,A
6,1929-02-17,1928,FC Barcelona,Real Madrid,0-1,1-2,1,2,1,league,NA,NA,A
7,1929-02-17,1928,Athletic Bilbao,Espanyol Barcelona,3-0,9-0,9,0,1,league,NA,NA,H
8,1929-02-17,1928,Atletico Madrid,Real Sociedad,0-3,0-3,0,3,1,league,NA,NA,A
9,1929-02-17,1928,Real Union,Racing Santander,0-1,3-1,3,1,1,league,NA,NA,H
10,1929-02-17,1928,CE Europa,Arenas de Getxo,2-0,5-2,5,2,1,league,NA,NA,H
11,1929-02-24,1928,Real Sociedad,FC Barcelona,2-0,3-0,3,0,1,league,NA,NA,H
12,1929-02-24,1928,Espanyol Barcelona,CE Europa,3-0,3-1,3,1,1,league,NA,NA,H
13,1929-02-24,1928,Arenas de Getxo,Real Union,1-0,1-1,1,1,1,league,NA,NA,D
14,1929-02-24,1928,Racing Santander,Athletic Bilbao,0-2,0-4,0,4,1,league,NA,NA,A
15,1929-02-24,1928,Real Madrid,Atletico Madrid,1-1,2-1,2,1,1,league,NA,NA,H
16,1929-03-03,1928,Real Union,Atletico Madrid,1-1,1-2,1,2,1,league,NA,NA,A
17,1929-03-03,1928,Real Madrid,Real Sociedad,2-0,2-1,2,1,1,league,NA,NA,H
18,1929-03-03,1928,Espanyol Barcelona,Racing Santander,1-0,3-0,3,0,1,league,NA,NA,H
19,1929-03-03,1928,FC Barcelona,Arenas de Getxo,1-2,2-2,2,2,1,league,NA,NA,D
20,1929-03-03,1928,Athletic Bilbao,CE Europa,1-0,2-0,2,0,1,league,NA,NA,H
21,1929-03-10,1928,CE Europa,Real Union,2-2,3-3,3,3,1,league,NA,NA,D
22,1929-03-10,1928,Atletico Madrid,FC Barcelona,2-0,4-1,4,1,1,league,NA,NA,H
23,1929-03-10,1928,Racing Santander,Real Madrid,1-0,1-3,1,3,1,league,NA,NA,A
24,1929-03-10,1928,Real Sociedad,Espanyol Barcelona,0-0,1-1,1,1,1,league,NA,NA,D
25,1929-03-10,1928,Arenas de Getxo,Athletic Bilbao,1-0,1-0,1,0,1,league,NA,NA,H
26,1929-03-24,1928,Espanyol Barcelona,Real Madrid,2-0,4-0,4,0,1,league,NA,NA,H
27,1929-03-24,1928,Real Union,Athletic Bilbao,4-1,6-3,6,3,1,league,NA,NA,H
28,1929-03-24,1928,Arenas de Getxo,Real Sociedad,1-0,3-0,3,0,1,league,NA,NA,H
29,1929-03-24,1928,Atletico Madrid,Racing Santander,2-0,4-0,4,0,1,league,NA,NA,H
30,1929-03-24,1928,FC Barcelona,CE Europa,3-0,5-2,5,2,1,league,NA,NA,H
31,1929-03-31,1928,Real Sociedad,Racing Santander,6-1,8-1,8,1,1,league,NA,NA,H
32,1929-03-31,1928,Espanyol Barcelona,Arenas de Getxo,0-1,1-2,1,2,1,league,NA,NA,A
33,1929-03-31,1928,CE Europa,Atletico Madrid,1-0,4-1,4,1,1,league,NA,NA,H
34,1929-03-31,1928,Athletic Bilbao,FC Barcelona,1-0,5-1,5,1,1,league,NA,NA,H
35,1929-03-31,1928,Real Madrid,Real Union,2-0,2-0,2,0,1,league,NA,NA,H
36,1929-04-07,1928,Arenas de Getxo,Real Madrid,2-0,3-2,3,2,1,league,NA,NA,H
